Category,Field,Parsed,Normalized,Expanded,Geocoded,Properties,Parties,Notes
Identity,rt_id,✓,✓,✓ (as id),✓,✓ (in rt_ids[]),,
Identity,source,,✓,✓,✓,✓,,Set to "realtrack" at normalize
Identity,source_version,,✓,✓,✓,meta only,,Volatile — excluded from diffs
Property Address,address (raw string),✓,✓ (as raw_address),,,,Used as dedup key in properties
Property Address,street_number,,✓,✓,✓,,,Decomposed from raw address
Property Address,street_name,,✓,✓,✓,,,Decomposed from raw address
Property Address,street_suffix,,✓,✓,✓,,,Expanded: ST→STREET etc.
Property Address,street_direction,,✓,✓,✓,,,Expanded: E→EAST etc.
Property Address,unit,,✓,✓,✓,,,Extracted from address string
Property Address,unit_type,,✓,✓,✓,,,SUITE/UNIT/FLOOR/APT etc.
Property Address,po_box,,✓,,,,,Detected and extracted; not geocodable
Property Address,rural_route,,✓,,,,,Detected and extracted; geocodable
Property Address,building_name,,✓,,,,,Named buildings (e.g. GEORGIAN MALL)
Property Address,city,✓,✓ (as normalized_city),✓,✓,✓,,Canonical city from AMO lookup
Property Address,municipality,✓,✓,,,,✓,Region name (e.g. Metro Toronto)
Property Address,province,✓,✓,✓,✓,✓,,Always Ontario for RT
Property Address,postal_code,✓,✓,✓,✓,✓,,Regex extracted and formatted
Property Address,address_suite,✓,,,,,,Rarely populated; merged into unit at normalize
Property Address,alternate_addresses[],✓,→ property_alt,,,,,"Ranges like ""123-125"" expanded by parser"
Property Address,category,,✓,,,,,street_address/no_street_number/po_box/legal_description/empty
Property Address,address_scope,,✓,,,,,ontario/canadian/international/unknown
Property Address,city_status,,✓,,,,,official/alias/unknown/empty — volatile
Property Address,raw_city,,✓,,,,,Original city before normalization
Property Address,canonical,,,✓,✓,,,"NEW at expand: full geocodable string e.g. ""123 MAIN STREET, LONDON, ONTARIO"""
Property Address,skip_geocode,,,✓,✓,,,NEW at expand: bool flag for non-geocodable addresses
Coordinates,lat,,,,✓,✓,,From CoordinateStore best_coords()
Coordinates,lng,,,,✓,✓,,From CoordinateStore best_coords()
Coordinates,geocoded_at,,,,✓,,,Timestamp of coordinate lookup
Coordinates,provider_details,,,,✓,,,Provider name + accuracy + match_code
Coordinates,provider_details.provider,,,,✓,,,mapbox/geocodio/here/scraper
Coordinates,provider_details.accuracy,,,,✓,,,rooftop/place/approximate
Coordinates,provider_details.match_code,,,,✓,,,exact/high/medium/low
Seller Address,transferor.address (string),✓,✓ (as seller block),✓ (as seller.addresses[]),✓,,,Comma-separated string parsed at normalize
Seller Address,seller.street_number,,✓,✓,✓,,,Decomposed from seller address string
Seller Address,seller.street_name,,✓,✓,✓,,,
Seller Address,seller.street_suffix,,✓,✓,✓,,,
Seller Address,seller.street_direction,,✓,✓,✓,,,
Seller Address,seller.unit,,✓,✓,✓,,,
Seller Address,seller.city,,✓,✓,✓,,,
Seller Address,seller.province,,✓,✓,✓,,,
Seller Address,seller.postal_code,,✓,✓,✓,,,
Seller Address,seller.canonical,,,✓,✓,,,
Seller Address,seller.skip_geocode,,,✓,✓,,,
Seller Address,seller.category,,✓,,,,,corporate_seller for RT
Buyer Address,transferee.address (string),✓,✓ (as buyer block),✓ (as buyer.addresses[]),✓,,,Same decomposition as seller
Buyer Address,buyer.street_number,,✓,✓,✓,,,
Buyer Address,buyer.street_name,,✓,✓,✓,,,
Buyer Address,buyer.street_suffix,,✓,✓,✓,,,
Buyer Address,buyer.street_direction,,✓,✓,✓,,,
